id,species,locyr,tl,wt,scale_1,scale_2,scale_3,otolith_1,otolith_2,otolith_3
2039,LMB,Oxbow_2013,270,270,3,5,3,3,3,4
2040,LMB,Oxbow_2013,259,220,4,5,3,3,3,6
2041,LMB,Oxbow_2013,372,653,6,7,7,7,7,8
2042,LMB,Oxbow_2013,255,202,3,3,3,3,3,4
2043,LMB,Oxbow_2013,227,142,2,2,2,2,2,3
2044,LMB,Oxbow_2013,473,1543,7,8,7,7,7,10
2045,LMB,Oxbow_2013,306,395,5,5,8,8,8,8
2046,LMB,Oxbow_2013,410,996,7,7,6,6,6,6
2047,LMB,Oxbow_2013,195,86,2,2,2,2,2,3
2048,LMB,Oxbow_2013,187,81,2,2,2,2,2,3
2049,LMB,Oxbow_2013,375,708,6,8,8,8,8,8
2050,LMB,Oxbow_2013,420,1008,8,7,7,7,7,6
2051,LMB,Oxbow_2013,266,237,3,4,3,3,3,5
2052,LMB,Oxbow_2013,380,662,7,6,8,8,7,6
2054,LMB,Oxbow_2013,375,657,6,5,8,7,6,6
2055,LMB,Oxbow_2013,392,811,7,6,7,7,7,6
2056,LMB,Oxbow_2013,120,21,1,1,1,1,1,1
2057,LMB,Oxbow_2013,169,59,2,2,2,2,2,1
2058,LMB,Oxbow_2013,396,865,8,8,8,8,8,7
2059,LMB,Oxbow_2013,466,1368,8,8,8,8,8,8
2060,LMB,Oxbow_2013,433,1123,6,7,7,8,8,8
2061,LMB,Oxbow_2013,394,859,7,7,7,7,7,7
2062,LMB,Oxbow_2013,288,292,4,4,3,3,4,5
2063,LMB,Oxbow_2013,432,1027,8,9,8,8,8,9
2064,LMB,Oxbow_2013,410,1058,8,8,12,12,12,12
2065,LMB,Oxbow_2013,218,131,4,3,3,3,3,4
2066,LMB,Oxbow_2013,263,207,4,4,4,4,4,6
2067,LMB,Oxbow_2013,230,178,3,5,3,3,3,6
2068,LMB,Oxbow_2013,200,97,3,3,2,2,3,3
2069,LMB,Oxbow_2013,193,79,2,2,2,2,2,2
2070,LMB,Oxbow_2013,442,1329,10,10,12,12,12,12
2071,LMB,Oxbow_2013,495,1807,11,10,12,12,12,12
2072,LMB,Oxbow_2013,215,111,3,3,3,3,3,3
2073,LMB,Oxbow_2013,120,19,1,1,1,1,1,1
2074,LMB,Oxbow_2013,220,107,3,4,3,3,3,4
2300,LMB,Pleasant Hill_2013,290,302,2,2,5,2,2,2
2301,LMB,Pleasant Hill_2013,281,288,3,2,6,3,3,3
2302,LMB,Pleasant Hill_2013,324,426,4,3,4,3,3,3
2303,LMB,Pleasant Hill_2013,307,366,2,2,3,3,3,3
2304,LMB,Pleasant Hill_2013,253,203,2,1,3,2,2,2
2305,LMB,Pleasant Hill_2013,178,65,1,1,2,1,1,1
2307,LMB,Pleasant Hill_2013,320,402,3,3,4,3,3,3
2308,LMB,Pleasant Hill_2013,126,20,1,1,1,1,1,1
2309,LMB,Pleasant Hill_2013,235,143,3,2,4,2,2,2
